file,kernel,blur_score_prima,blur_score_dopo
000000089799.jpg,Box_3,1560.724903589026,88.86566891048611
000000181675.jpg,H,2810.432404346317,663.4828171100481
000000474863.jpg,Originale,1522.060722345693,2351.6546777219187
000000580826.jpg,Box_3,2224.9019876740535,97.70812157619402
000000417685.jpg,Gauss_5,1474.1872541574965,43.83239775287862
000000327883.jpg,Gauss_3,1914.758164402448,321.1173847707695
000000349743.jpg,Circ_5,1046.5933536776533,84.9517683071278
000000085970.jpg,H,2700.1059623336687,245.53424774989742
000000263370.jpg,Gauss_3,564.6436927304313,112.7288697293181
000000359047.jpg,H,2476.5999191651626,371.40511368732064
000000496647.jpg,Box_5,13615.477376836116,151.3602699647591
000000230954.jpg,Gauss_3,4001.422029887295,487.858223625145
000000361296.jpg,Originale,4296.043801589204,4058.700140758039
000000548144.jpg,Gauss_3,1299.4949236587818,240.62299229511862
000000558201.jpg,Circ_5,6086.195820841838,214.74512619874915
000000431656.jpg,D,4518.190476741519,707.187522976759
000000163440.jpg,Gauss_5,12144.952851334356,229.39789457531683
000000451898.jpg,Median_5,2913.1959954962863,489.60002110770023
000000243667.jpg,Circ_5,706.2803195634523,48.964490131456024
000000141485.jpg,V,4856.1374040657865,1018.6786393527436
000000276229.jpg,Circ_5,1731.8339976095206,125.7328115349658
000000223762.jpg,Box_5,801.1992889318639,34.10403458906283
000000182524.jpg,V,1552.9471200071548,275.1739541001739
000000290506.jpg,Circ_5,3725.3190528970676,161.15166808902495
000000301165.jpg,Median_5,709.3638270378007,114.08002874365653
000000050097.jpg,V,809.6731007582606,223.56351021596262
000000119364.jpg,D,5105.111710382988,635.1903464977863
000000580691.jpg,Median_5,559.9391059717577,105.34719052805299
000000039400.jpg,Gauss_5,4728.850106052303,147.42754688405932
000000292725.jpg,Cross_5,592.7297269504385,115.70717572709114
000000422408.jpg,Box_3,2521.6828822313796,162.1095409524386
000000574916.jpg,Gauss_3,6520.711899321048,616.8549101768758
000000039471.jpg,V,1583.7565219634516,68.84980649006758
000000055173.jpg,Originale,1417.420393893637,1066.3788090661783
000000049386.jpg,Cross_5,1933.382624823157,451.3101085057511
000000138511.jpg,Box_3,1525.847177734375,92.6031568877551
000000408503.jpg,Box_5,11757.587219021258,114.86055395554523
000000204780.jpg,Circ_5,3192.1033663768517,189.91095811493543
000000270159.jpg,D,7475.920008406043,2058.9094821015583
000000401503.jpg,V,1084.797069593627,162.87336483740498
000000368779.jpg,Median_5,2876.61332237672,469.78737281273425
000000329673.jpg,H,1464.673138080078,499.85680373834106
000000270010.jpg,H,5918.968895745245,446.0307993525418
000000456838.jpg,Gauss_5,1375.1154072855206,66.82834218035931
000000472547.jpg,Cross_5,5591.0494920033525,762.9675750855554
000000256689.jpg,Gauss_5,21773.944207392986,244.4327550695023
000000412888.jpg,Originale,1581.7878289754565,1264.953090259007
000000546634.jpg,D,2536.1512932144933,472.7303144458133
000000579660.jpg,V,943.8978119547526,285.69391738529356
000000126201.jpg,D,941.594534607021,201.592069385152
000000364349.jpg,Originale,4065.3335898229293,4686.802343264067
000000020940.jpg,D,2965.7544297325767,942.3594002173573
000000279901.jpg,D,13788.337889891209,4746.774771959272
000000175376.jpg,Median_5,3283.2370110999123,557.2489503004907
000000003578.jpg,D,1501.7283462066227,258.24046020634916
000000579990.jpg,Box_5,976.0705148111873,30.11872846253064
000000296310.jpg,H,4297.27061717098,499.4812418287469
000000327115.jpg,Originale,2129.865551229988,2649.8797380097058
000000561608.jpg,Box_3,768.5452563696543,64.28388925534097
000000539799.jpg,Gauss_3,1045.919393449168,139.32391212801792
000000046865.jpg,H,1596.8127668334537,698.8239753195663
000000341780.jpg,H,852.5753666659886,129.86391613256032
000000170806.jpg,Cross_5,1897.3523275181246,415.28159819042526
000000147842.jpg,Median_5,1813.0543267916096,470.29394526443895
